road_id,road_name,road_name1,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE
R193,成功大道（北向南）,成功大道（北向南）,118.1315632,24.5203737,118.1318189,24.5198933
R194,成功大道（北向南）,成功大道（北向南）,118.1321021,24.5179859,118.132202,24.5151911
R195,成功大道（北向南）,成功大道（北向南）,118.132545,24.5074011,118.1325673,24.5069069
R196,成功大道（北向南）,成功大道（北向南）,118.1325673,24.5069069,118.1328409,24.5052997
R197,成功大道（北向南）,成功大道（北向南）,118.1330813,24.5013883,118.1330366,24.5011532
R198,成功大道（北向南）,成功大道（北向南）,118.132511,24.4995504,118.1324084,24.4991136
R199,成功大道（北向南）,成功大道（北向南）,118.1322917,24.4983085,118.1321671,24.4957201
R200,成功大道（北向南）,成功大道（北向南）,118.1315807,24.4918064,118.1313309,24.4912079
R201,成功大道（北向南）,成功大道（北向南）,118.1271242,24.4861063,118.1267433,24.4855474
R202,成功大道（北向南）,成功大道（北向南）,118.1082782,24.4636525,118.1079944,24.4634949
R203,成功大道（北向南）,成功大道（北向南）,118.1059835,24.4615348,118.1058411,24.4611547
R204,成功大道（北向南）,成功大道（北向南）,118.0917696,24.4509772,118.0909916,24.4507236
R205,成功大道（北向南）,成功大道（北向南）,118.0844423,24.4482789,118.0838441,24.4476465
R206,环岛干道（东向西）,环岛干道（东向西）,118.0980167,24.4355757,118.09783,24.4355727
R207,演武大桥（东向西）,演武大桥（东向西）,118.0947233,24.4347222,118.0946776,24.4346928
R208,演武大桥（东向西）-环岛路（东向西）,演武大桥（东向西）-环岛路（东向西）,118.0888477,24.43482,118.0878666,24.4349105
R209,环岛路（东向西）,环岛路（东向西）,118.0835757,24.4373162,118.0819113,24.4389322
R210,环岛路（东向西）,环岛路（东向西）,118.0776731,24.4454703,118.0769066,24.4469501
R211,鹭江道（南向北）,鹭江道（南向北）,118.0765389,24.4477608,118.0764959,24.4479165
R212,环岛路（西向东）,环岛路（西向东）,118.076249,24.4482371,118.0764614,24.4475537
R213,环岛路（西向东）,环岛路（西向东）,118.0824658,24.4381871,118.0835059,24.4372242
R214,演武大桥（西向东）,演武大桥（西向东）,118.0865575,24.4350998,118.0871539,24.4349418
R215,环岛干道（西向东）,环岛干道（西向东）,118.0946829,24.4344579,118.0947661,24.4345326
R240,环岛干道-集美大桥下穿机场隧道（北向南）,环岛干道-集美大桥下穿机场隧道（北向南）,118.134857,24.5616995,118.1351002,24.5614213
R241,环岛干道（北向南）,环岛干道（北向南）,118.1468745,24.5473574,118.1474548,24.546681
R242,环岛干道（北向南）,环岛干道（北向南）,118.1474548,24.546681,118.1479758,24.5461404
R243,环岛干道（北向南）,环岛干道（北向南）,118.1530823,24.5406035,118.1533893,24.5403509
R244,环岛干道（北向南）,环岛干道（北向南）,118.1634376,24.5336593,118.1649391,24.5312484
R245,环岛干道（北向南）,环岛干道（北向南）,118.1649391,24.5312484,118.1656335,24.5301066
